node_id,attribute,value,k,group_fairness_score
26, gender,1,2,0.5
26, gender,1,3,0.5
26, gender,1,4,0.5
27, gender,0,1,0.5
27, gender,0,2,0.0
27, gender,0,3,-0.16666666666666663
27, gender,0,4,-0.25
27, gender,1,1,-0.5
27, gender,1,2,0.0
27, gender,1,3,0.16666666666666669
27, gender,1,4,0.25
28, gender,0,1,-0.5
28, gender,0,2,-0.5
28, gender,0,3,-0.5
28, gender,0,4,-0.5
28, gender,1,1,0.5
28, gender,1,2,0.5
28, gender,1,3,0.5
28, gender,1,4,0.5
29, gender,0,1,0.5
29, gender,0,2,0.0
29, gender,0,3,-0.16666666666666663
29, gender,0,4,-0.25
29, gender,1,1,-0.5
29, gender,1,2,0.0
29, gender,1,3,0.16666666666666669
29, gender,1,4,0.25
30, gender,0,1,-0.5
30, gender,0,2,-0.5
30, gender,0,3,-0.16666666666666663
30, gender,0,4,-0.25
30, gender,1,1,0.5
30, gender,1,2,0.5
30, gender,1,3,0.16666666666666669
30, gender,1,4,0.25
31, gender,0,1,0.5
31, gender,0,2,0.0
31, gender,0,3,-0.16666666666666663
31, gender,0,4,0.0
31, gender,1,1,-0.5
31, gender,1,2,0.0
31, gender,1,3,0.16666666666666669
31, gender,1,4,0.0
32, gender,0,1,-0.5
32, gender,0,2,-0.5
32, gender,0,3,-0.5
32, gender,0,4,-0.5
32, gender,1,1,0.5
32, gender,1,2,0.5
32, gender,1,3,0.5
32, gender,1,4,0.5
33, gender,0,1,-0.5
33, gender,0,2,-0.5
33, gender,0,3,-0.5
33, gender,0,4,-0.5
33, gender,1,1,0.5
33, gender,1,2,0.5
33, gender,1,3,0.5
33, gender,1,4,0.5
34, gender,0,1,-0.5
34, gender,0,2,0.0
34, gender,0,3,-0.16666666666666663
34, gender,0,4,-0.25
34, gender,1,1,0.5
34, gender,1,2,0.0
34, gender,1,3,0.16666666666666669
34, gender,1,4,0.25
35, gender,0,1,-0.5
35, gender,0,2,-0.5
35, gender,0,3,-0.5
35, gender,0,4,-0.5
35, gender,1,1,0.5
35, gender,1,2,0.5
35, gender,1,3,0.5
35, gender,1,4,0.5
36, gender,0,1,-0.5
36, gender,0,2,-0.5
36, gender,0,3,-0.5
36, gender,0,4,-0.25
36, gender,1,1,0.5
36, gender,1,2,0.5
36, gender,1,3,0.5
36, gender,1,4,0.25
37, gender,0,1,-0.5
37, gender,0,2,-0.5
37, gender,0,3,-0.5
37, gender,0,4,-0.5
37, gender,1,1,0.5
37, gender,1,2,0.5
37, gender,1,3,0.5
37, gender,1,4,0.5
38, gender,0,1,0.5
38, gender,0,2,0.0
38, gender,0,3,-0.16666666666666663
38, gender,0,4,-0.25
38, gender,1,1,-0.5
38, gender,1,2,0.0
38, gender,1,3,0.16666666666666669
38, gender,1,4,0.25
39, gender,0,1,0.5
39, gender,0,2,0.0
39, gender,0,3,-0.16666666666666663
39, gender,0,4,-0.25
39, gender,1,1,-0.5
39, gender,1,2,0.0
39, gender,1,3,0.16666666666666669
39, gender,1,4,0.25
40, gender,0,1,0.5
40, gender,0,2,0.5
40, gender,0,3,0.16666666666666669
40, gender,0,4,0.0
40, gender,1,1,-0.5
40, gender,1,2,-0.5
40, gender,1,3,-0.16666666666666663
40, gender,1,4,0.0
41, gender,0,1,0.5
41, gender,0,2,0.0
41, gender,0,3,0.16666666666666669
41, gender,0,4,0.25
41, gender,1,1,-0.5
41, gender,1,2,0.0
41, gender,1,3,-0.16666666666666663
41, gender,1,4,-0.25
42, gender,0,1,-0.5
42, gender,0,2,-0.5
42, gender,0,3,-0.5
42, gender,0,4,-0.5
42, gender,1,1,0.5
42, gender,1,2,0.5
42, gender,1,3,0.5
42, gender,1,4,0.5
43, gender,0,1,-0.5
43, gender,0,2,-0.5
43, gender,0,3,-0.5
43, gender,0,4,-0.5
43, gender,1,1,0.5
43, gender,1,2,0.5
43, gender,1,3,0.5
43, gender,1,4,0.5
44, gender,0,1,-0.5
44, gender,0,2,-0.5
44, gender,0,3,-0.16666666666666663
44, gender,0,4,-0.25
44, gender,1,1,0.5
44, gender,1,2,0.5
44, gender,1,3,0.16666666666666669
44, gender,1,4,0.25
45, gender,0,1,0.5
45, gender,0,2,0.0
45, gender,0,3,-0.16666666666666663
45, gender,0,4,0.0
45, gender,1,1,-0.5
45, gender,1,2,0.0
45, gender,1,3,0.16666666666666669
45, gender,1,4,0.0
46, gender,0,1,-0.5
46, gender,0,2,-0.5
46, gender,0,3,-0.5
46, gender,0,4,-0.5
46, gender,1,1,0.5
46, gender,1,2,0.5
46, gender,1,3,0.5
46, gender,1,4,0.5
47, gender,0,1,-0.5
47, gender,0,2,-0.5
47, gender,0,3,-0.5
47, gender,0,4,-0.5
47, gender,1,1,0.5
47, gender,1,2,0.5
47, gender,1,3,0.5
47, gender,1,4,0.5
48, gender,0,1,-0.5
48, gender,0,2,0.0
48, gender,0,3,0.16666666666666669
48, gender,0,4,0.0
48, gender,1,1,0.5
48, gender,1,2,0.0
48, gender,1,3,-0.16666666666666663
48, gender,1,4,0.0
49, gender,0,1,-0.5
49, gender,0,2,-0.5
49, gender,0,3,-0.5
49, gender,0,4,-0.5
49, gender,1,1,0.5
49, gender,1,2,0.5
49, gender,1,3,0.5
49, gender,1,4,0.5
50, gender,0,1,0.5
50, gender,0,2,0.0
50, gender,0,3,-0.16666666666666663
50, gender,0,4,-0.25
50, gender,1,1,-0.5
50, gender,1,2,0.0
50, gender,1,3,0.16666666666666669
50, gender,1,4,0.25
51, gender,0,1,0.5
51, gender,0,2,0.0
51, gender,0,3,-0.16666666666666663
51, gender,0,4,-0.25
51, gender,1,1,-0.5
51, gender,1,2,0.0
51, gender,1,3,0.16666666666666669
51, gender,1,4,0.25
52, gender,0,1,-0.5
52, gender,0,2,-0.5
52, gender,0,3,-0.5
52, gender,0,4,-0.5
52, gender,1,1,0.5
52, gender,1,2,0.5
52, gender,1,3,0.5
52, gender,1,4,0.5
53, gender,0,1,0.5
53, gender,0,2,0.0
53, gender,0,3,-0.16666666666666663
53, gender,0,4,-0.25
53, gender,1,1,-0.5
53, gender,1,2,0.0
53, gender,1,3,0.16666666666666669
53, gender,1,4,0.25
54, gender,0,1,0.5
54, gender,0,2,0.0
54, gender,0,3,0.16666666666666669
54, gender,0,4,0.25
54, gender,1,1,-0.5
54, gender,1,2,0.0
54, gender,1,3,-0.16666666666666663
54, gender,1,4,-0.25
55, gender,0,1,-0.5
55, gender,0,2,0.0
55, gender,0,3,-0.16666666666666663
55, gender,0,4,-0.25
55, gender,1,1,0.5
55, gender,1,2,0.0
55, gender,1,3,0.16666666666666669
55, gender,1,4,0.25
56, gender,0,1,-0.5
56, gender,0,2,0.0
56, gender,0,3,-0.16666666666666663
56, gender,0,4,-0.25
56, gender,1,1,0.5
56, gender,1,2,0.0
56, gender,1,3,0.16666666666666669
56, gender,1,4,0.25
57, gender,0,1,0.5
57, gender,0,2,0.5
57, gender,0,3,0.16666666666666669
57, gender,0,4,0.25
57, gender,1,1,-0.5
57, gender,1,2,-0.5
57, gender,1,3,-0.16666666666666663
57, gender,1,4,-0.25
58, gender,0,1,-0.5
58, gender,0,2,-0.5
58, gender,0,3,-0.5
58, gender,0,4,-0.5
58, gender,1,1,0.5
58, gender,1,2,0.5
58, gender,1,3,0.5
58, gender,1,4,0.5
59, gender,0,1,-0.5
59, gender,0,2,-0.5
59, gender,0,3,-0.16666666666666663
59, gender,0,4,-0.25
59, gender,1,1,0.5
59, gender,1,2,0.5
59, gender,1,3,0.16666666666666669
59, gender,1,4,0.25
60, gender,0,1,-0.5
60, gender,0,2,-0.5
60, gender,0,3,-0.5
60, gender,0,4,-0.25
60, gender,1,1,0.5
60, gender,1,2,0.5
60, gender,1,3,0.5
60, gender,1,4,0.25
61, gender,0,1,-0.5
61, gender,0,2,-0.5
61, gender,0,3,-0.5
61, gender,0,4,-0.5
61, gender,1,1,0.5
61, gender,1,2,0.5
61, gender,1,3,0.5
61, gender,1,4,0.5
62, gender,0,1,-0.5
62, gender,0,2,0.0
62, gender,0,3,-0.16666666666666663
62, gender,0,4,0.0
62, gender,1,1,0.5
62, gender,1,2,0.0
62, gender,1,3,0.16666666666666669
62, gender,1,4,0.0
63, gender,0,1,-0.5
63, gender,0,2,-0.5
63, gender,0,3,-0.16666666666666663
63, gender,0,4,0.0
63, gender,1,1,0.5
63, gender,1,2,0.5
63, gender,1,3,0.16666666666666669
63, gender,1,4,0.0
64, gender,0,1,0.5
64, gender,0,2,0.0
64, gender,0,3,-0.16666666666666663
64, gender,0,4,-0.25
64, gender,1,1,-0.5
64, gender,1,2,0.0
64, gender,1,3,0.16666666666666669
64, gender,1,4,0.25
65, gender,0,1,0.5
65, gender,0,2,0.0
65, gender,0,3,-0.16666666666666663
65, gender,0,4,-0.25
65, gender,1,1,-0.5
65, gender,1,2,0.0
65, gender,1,3,0.16666666666666669
65, gender,1,4,0.25
66, gender,0,1,-0.5
66, gender,0,2,-0.5
66, gender,0,3,-0.5
66, gender,0,4,-0.25
66, gender,1,1,0.5
66, gender,1,2,0.5
66, gender,1,3,0.5
66, gender,1,4,0.25
67, gender,0,1,-0.5
67, gender,0,2,-0.5
67, gender,0,3,-0.5
67, gender,0,4,-0.5
67, gender,1,1,0.5
67, gender,1,2,0.5
67, gender,1,3,0.5
67, gender,1,4,0.5
68, gender,0,1,-0.5
68, gender,0,2,-0.5
68, gender,0,3,-0.5
68, gender,0,4,-0.5
68, gender,1,1,0.5
68, gender,1,2,0.5
68, gender,1,3,0.5
68, gender,1,4,0.5
69, gender,0,1,0.5
69, gender,0,2,0.0
69, gender,0,3,0.16666666666666669
69, gender,0,4,0.0
69, gender,1,1,-0.5
69, gender,1,2,0.0
69, gender,1,3,-0.16666666666666663
69, gender,1,4,0.0
70, gender,0,1,-0.5
70, gender,0,2,-0.5
70, gender,0,3,-0.5
70, gender,0,4,-0.5
70, gender,1,1,0.5
70, gender,1,2,0.5
70, gender,1,3,0.5
70, gender,1,4,0.5
71, gender,0,1,-0.5
71, gender,0,2,-0.5
71, gender,0,3,-0.5
71, gender,0,4,-0.5
71, gender,1,1,0.5
71, gender,1,2,0.5
71, gender,1,3,0.5
71, gender,1,4,0.5
72, gender,0,1,0.5
72, gender,0,2,0.0
72, gender,0,3,0.16666666666666669
72, gender,0,4,0.25
72, gender,1,1,-0.5
72, gender,1,2,0.0
72, gender,1,3,-0.16666666666666663
72, gender,1,4,-0.25
73, gender,0,1,0.5
73, gender,0,2,0.5
73, gender,0,3,0.16666666666666669
73, gender,0,4,0.25
73, gender,1,1,-0.5
73, gender,1,2,-0.5
73, gender,1,3,-0.16666666666666663
73, gender,1,4,-0.25
74, gender,0,1,-0.5
74, gender,0,2,-0.5
74, gender,0,3,-0.5
74, gender,0,4,-0.5
74, gender,1,1,0.5
74, gender,1,2,0.5
74, gender,1,3,0.5
74, gender,1,4,0.5
75, gender,0,1,-0.5
75, gender,0,2,-0.5
75, gender,0,3,-0.16666666666666663
75, gender,0,4,0.0
75, gender,1,1,0.5
75, gender,1,2,0.5
75, gender,1,3,0.16666666666666669
75, gender,1,4,0.0
76, gender,0,1,0.5
76, gender,0,2,0.0
76, gender,0,3,-0.16666666666666663
76, gender,0,4,-0.25
76, gender,1,1,-0.5
76, gender,1,2,0.0
76, gender,1,3,0.16666666666666669
76, gender,1,4,0.25
77, gender,0,1,0.5
77, gender,0,2,0.0
77, gender,0,3,-0.16666666666666663
77, gender,0,4,-0.25
77, gender,1,1,-0.5
77, gender,1,2,0.0
77, gender,1,3,0.16666666666666669
77, gender,1,4,0.25
78, gender,0,1,-0.5
78, gender,0,2,-0.5
78, gender,0,3,-0.5
78, gender,0,4,-0.5
78, gender,1,1,0.5
78, gender,1,2,0.5
78, gender,1,3,0.5
78, gender,1,4,0.5
79, gender,0,1,0.5
79, gender,0,2,0.5
79, gender,0,3,0.5
79, gender,0,4,0.25
79, gender,1,1,-0.5
79, gender,1,2,-0.5
79, gender,1,3,-0.5
79, gender,1,4,-0.25
80, gender,0,1,0.5
80, gender,0,2,0.5
80, gender,0,3,0.16666666666666669
80, gender,0,4,0.0
80, gender,1,1,-0.5
80, gender,1,2,-0.5
80, gender,1,3,-0.16666666666666663
80, gender,1,4,0.0
81, gender,0,1,-0.5
81, gender,0,2,-0.5
81, gender,0,3,-0.5
81, gender,0,4,-0.5
81, gender,1,1,0.5
81, gender,1,2,0.5
81, gender,1,3,0.5
81, gender,1,4,0.5
82, gender,0,1,-0.5
82, gender,0,2,0.0
82, gender,0,3,0.16666666666666669
82, gender,0,4,0.0
82, gender,1,1,0.5
82, gender,1,2,0.0
82, gender,1,3,-0.16666666666666663
82, gender,1,4,0.0
83, gender,0,1,0.5
83, gender,0,2,0.0
83, gender,0,3,-0.16666666666666663
83, gender,0,4,-0.25
83, gender,1,1,-0.5
83, gender,1,2,0.0
83, gender,1,3,0.16666666666666669
83, gender,1,4,0.25
84, gender,0,1,0.5
84, gender,0,2,0.0
84, gender,0,3,-0.16666666666666663
84, gender,0,4,-0.25
84, gender,1,1,-0.5
84, gender,1,2,0.0
84, gender,1,3,0.16666666666666669
84, gender,1,4,0.25
85, gender,0,1,0.5
85, gender,0,2,0.0
85, gender,0,3,-0.16666666666666663
85, gender,0,4,0.0
85, gender,1,1,-0.5
85, gender,1,2,0.0
85, gender,1,3,0.16666666666666669
85, gender,1,4,0.0
86, gender,0,1,-0.5
86, gender,0,2,-0.5
86, gender,0,3,-0.5
86, gender,0,4,-0.5
86, gender,1,1,0.5
86, gender,1,2,0.5
86, gender,1,3,0.5
86, gender,1,4,0.5
87, gender,0,1,-0.5
87, gender,0,2,0.0
87, gender,0,3,-0.16666666666666663
87, gender,0,4,-0.25
87, gender,1,1,0.5
87, gender,1,2,0.0
87, gender,1,3,0.16666666666666669
87, gender,1,4,0.25
88, gender,0,1,-0.5
88, gender,0,2,-0.5
88, gender,0,3,-0.5
88, gender,0,4,-0.5
88, gender,1,1,0.5
88, gender,1,2,0.5
88, gender,1,3,0.5
88, gender,1,4,0.5
89, gender,0,1,-0.5
89, gender,0,2,-0.5
89, gender,0,3,-0.5
89, gender,0,4,-0.5
89, gender,1,1,0.5
89, gender,1,2,0.5
89, gender,1,3,0.5
89, gender,1,4,0.5
90, gender,0,1,-0.5
90, gender,0,2,-0.5
90, gender,0,3,-0.5
90, gender,0,4,-0.5
90, gender,1,1,0.5
90, gender,1,2,0.5
90, gender,1,3,0.5
90, gender,1,4,0.5
91, gender,0,1,-0.5
91, gender,0,2,-0.5
91, gender,0,3,-0.5
91, gender,0,4,-0.5
91, gender,1,1,0.5
91, gender,1,2,0.5
91, gender,1,3,0.5
91, gender,1,4,0.5
92, gender,0,1,0.5
92, gender,0,2,0.5
92, gender,0,3,0.5
92, gender,0,4,0.25
92, gender,1,1,-0.5
92, gender,1,2,-0.5
92, gender,1,3,-0.5
92, gender,1,4,-0.25
93, gender,0,1,-0.5
93, gender,0,2,-0.5
93, gender,0,3,-0.5
93, gender,0,4,-0.5
93, gender,1,1,0.5
93, gender,1,2,0.5
93, gender,1,3,0.5
93, gender,1,4,0.5
94, gender,0,1,-0.5
94, gender,0,2,-0.5
94, gender,0,3,-0.16666666666666663
94, gender,0,4,0.0
94, gender,1,1,0.5
94, gender,1,2,0.5
94, gender,1,3,0.16666666666666669
94, gender,1,4,0.0
95, gender,0,1,-0.5
95, gender,0,2,-0.5
95, gender,0,3,-0.5
95, gender,0,4,-0.5
95, gender,1,1,0.5
95, gender,1,2,0.5
95, gender,1,3,0.5
95, gender,1,4,0.5
96, gender,0,1,0.5
96, gender,0,2,0.0
96, gender,0,3,-0.16666666666666663
96, gender,0,4,-0.25
96, gender,1,1,-0.5
96, gender,1,2,0.0
96, gender,1,3,0.16666666666666669
96, gender,1,4,0.25
97, gender,0,1,-0.5
97, gender,0,2,-0.5
97, gender,0,3,-0.5
97, gender,0,4,-0.5
97, gender,1,1,0.5
97, gender,1,2,0.5
97, gender,1,3,0.5
97, gender,1,4,0.5
98, gender,0,1,0.5
98, gender,0,2,0.0
98, gender,0,3,-0.16666666666666663
98, gender,0,4,0.0
98, gender,1,1,-0.5
98, gender,1,2,0.0
98, gender,1,3,0.16666666666666669
98, gender,1,4,0.0
99, gender,0,1,-0.5
99, gender,0,2,-0.5
99, gender,0,3,-0.5
99, gender,0,4,-0.5
99, gender,1,1,0.5
99, gender,1,2,0.5
99, gender,1,3,0.5
99, gender,1,4,0.5
100, gender,0,1,0.5
100, gender,0,2,0.0
100, gender,0,3,-0.16666666666666663
100, gender,0,4,0.0
100, gender,1,1,-0.5
100, gender,1,2,0.0
100, gender,1,3,0.16666666666666669
100, gender,1,4,0.0
101, gender,0,1,-0.5
101, gender,0,2,-0.5
101, gender,0,3,-0.16666666666666663
101, gender,0,4,0.0
101, gender,1,1,0.5
101, gender,1,2,0.5
101, gender,1,3,0.16666666666666669
101, gender,1,4,0.0
102, gender,0,1,-0.5
102, gender,0,2,-0.5
102, gender,0,3,-0.5
102, gender,0,4,-0.5
102, gender,1,1,0.5
102, gender,1,2,0.5
102, gender,1,3,0.5
102, gender,1,4,0.5
103, gender,0,1,-0.5
103, gender,0,2,-0.5
103, gender,0,3,-0.16666666666666663
103, gender,0,4,0.0
103, gender,1,1,0.5
103, gender,1,2,0.5
103, gender,1,3,0.16666666666666669
103, gender,1,4,0.0
104, gender,0,1,-0.5
104, gender,0,2,0.0
104, gender,0,3,-0.16666666666666663
104, gender,0,4,-0.25
104, gender,1,1,0.5
104, gender,1,2,0.0
104, gender,1,3,0.16666666666666669
104, gender,1,4,0.25
105, gender,0,1,0.5
105, gender,0,2,0.0
105, gender,0,3,-0.16666666666666663
105, gender,0,4,-0.25
105, gender,1,1,-0.5
105, gender,1,2,0.0
105, gender,1,3,0.16666666666666669
105, gender,1,4,0.25
106, gender,0,1,0.5
106, gender,0,2,0.0
106, gender,0,3,-0.16666666666666663
106, gender,0,4,-0.25
106, gender,1,1,-0.5
106, gender,1,2,0.0
106, gender,1,3,0.16666666666666669
106, gender,1,4,0.25
107, gender,0,1,-0.5
107, gender,0,2,-0.5
107, gender,0,3,-0.16666666666666663
107, gender,0,4,0.0
107, gender,1,1,0.5
107, gender,1,2,0.5
107, gender,1,3,0.16666666666666669
107, gender,1,4,0.0
108, gender,0,1,0.5
108, gender,0,2,0.5
108, gender,0,3,0.16666666666666669
108, gender,0,4,0.25
108, gender,1,1,-0.5
108, gender,1,2,-0.5
108, gender,1,3,-0.16666666666666663
108, gender,1,4,-0.25
109, gender,0,1,-0.5
109, gender,0,2,-0.5
109, gender,0,3,-0.5
109, gender,0,4,-0.5
109, gender,1,1,0.5
109, gender,1,2,0.5
109, gender,1,3,0.5
109, gender,1,4,0.5
110, gender,0,1,-0.5
110, gender,0,2,-0.5
110, gender,0,3,-0.5
110, gender,0,4,-0.5
110, gender,1,1,0.5
110, gender,1,2,0.5
110, gender,1,3,0.5
110, gender,1,4,0.5
111, gender,0,1,-0.5
111, gender,0,2,0.0
111, gender,0,3,-0.16666666666666663
111, gender,0,4,0.0
111, gender,1,1,0.5
111, gender,1,2,0.0
111, gender,1,3,0.16666666666666669
111, gender,1,4,0.0
112, gender,0,1,-0.5
112, gender,0,2,-0.5
112, gender,0,3,-0.5
112, gender,0,4,-0.5
112, gender,1,1,0.5
112, gender,1,2,0.5
112, gender,1,3,0.5
112, gender,1,4,0.5
113, gender,0,1,0.5
113, gender,0,2,0.5
113, gender,0,3,0.16666666666666669
113, gender,0,4,0.25
113, gender,1,1,-0.5
113, gender,1,2,-0.5
113, gender,1,3,-0.16666666666666663
113, gender,1,4,-0.25
114, gender,0,1,-0.5
114, gender,0,2,-0.5
114, gender,0,3,-0.5
114, gender,0,4,-0.5
114, gender,1,1,0.5
114, gender,1,2,0.5
114, gender,1,3,0.5
114, gender,1,4,0.5
115, gender,0,1,0.5
115, gender,0,2,0.5
115, gender,0,3,0.5
115, gender,0,4,0.25
115, gender,1,1,-0.5
115, gender,1,2,-0.5
115, gender,1,3,-0.5
115, gender,1,4,-0.25
116, gender,0,1,-0.5
116, gender,0,2,-0.5
116, gender,0,3,-0.16666666666666663
116, gender,0,4,-0.25
116, gender,1,1,0.5
116, gender,1,2,0.5
116, gender,1,3,0.16666666666666669
116, gender,1,4,0.25
117, gender,0,1,0.5
117, gender,0,2,0.0
117, gender,0,3,-0.16666666666666663
117, gender,0,4,-0.25
117, gender,1,1,-0.5
117, gender,1,2,0.0
117, gender,1,3,0.16666666666666669
117, gender,1,4,0.25
118, gender,0,1,0.5
118, gender,0,2,0.5
118, gender,0,3,0.16666666666666669
118, gender,0,4,0.0
118, gender,1,1,-0.5
118, gender,1,2,-0.5
118, gender,1,3,-0.16666666666666663
118, gender,1,4,0.0
119, gender,0,1,0.5
119, gender,0,2,0.5
119, gender,0,3,0.5
119, gender,0,4,0.5
119, gender,1,1,-0.5
119, gender,1,2,-0.5
119, gender,1,3,-0.5
119, gender,1,4,-0.5
120, gender,0,1,0.5
120, gender,0,2,0.0
120, gender,0,3,-0.16666666666666663
120, gender,0,4,0.0
120, gender,1,1,-0.5
120, gender,1,2,0.0
120, gender,1,3,0.16666666666666669
120, gender,1,4,0.0
121, gender,0,1,0.5
121, gender,0,2,0.0
121, gender,0,3,-0.16666666666666663
121, gender,0,4,-0.25
121, gender,1,1,-0.5
121, gender,1,2,0.0
121, gender,1,3,0.16666666666666669
121, gender,1,4,0.25
122, gender,0,1,-0.5
122, gender,0,2,-0.5
122, gender,0,3,-0.5
122, gender,0,4,-0.5
122, gender,1,1,0.5
122, gender,1,2,0.5
122, gender,1,3,0.5
122, gender,1,4,0.5
123, gender,0,1,0.5
123, gender,0,2,0.0
123, gender,0,3,-0.16666666666666663
123, gender,0,4,0.0
